717	WAPA America SD
719	Galavision Cable Network
720	ESPN Deportes
721	UniMas
722	BabyFirst
723	CentroAméricaTV
725	Discovery Familia En Español
729	UniMas (Pacific)
730	Univision Network (Pacific)
757	Televisión Dominicana
771	HBO Drama
773	HBO Latino HD
784	The Travel Channel HD
785	Starz Encore HD
786	QVC2 HD
787	QVC3 HD
788	LMN HD
789	Fox Business HD
790	Hallmark Mystery HD
791	QVC HD
792	Disney XD HD
794	Bravo HD
795	CNBC HD
796	ESPNEWS HD
797	FYI Channel HD
798	IFC HD
799	WE tv HD
803	WSHM-LD
810	New England Cable News HD
813	WEDH-DT
815	Destination America HD
816	TV ONE HD
817	NBA TV HD
818	MLB Network HD
821	National Geographic HD
822	WWLP-DT
823	Discovery Channel HD
824	Disney Channel HD
825	Nickelodeon HD
826	Freeform HD
827	MTV - Music Television HD
828	MTVLIVE
829	VH1 HD
830	FX HD
831	TBS HD
832	Home & Garden Television HD
833	TNT HD
834	E! Entertainment Television HD
835	USA Network HD
836	Lifetime HD
837	A&E HD East
838	Tennis Channel HD
839	DISCOVERY TURBO HD
840	WGGB-DT
841	Fox News Channel HD
842	CNN HD
843	HLN HD
847	The Weather Channel HD
848	Golf Channel HD
849	ESPN HD
850	ESPN2 HD
851	New England Sports Network HD
852	NBC Sports Boston HD
853	NFL Network HD
854	Food Network HD
855	Paramount Network HD
856	CBS Sports Network HD
857	WGBY-DT
858	Comedy Central HD
859	AMC HD
860	Cartoon Network HD
861	WGGB-DT2
862	Syfy HD
863	Animal Planet HD
864	CMT HD
866	Science Channel HD
867	TLC HD (US)
868	Cinemax HD
870	HBO East
871	HBO Hits
872	History HD
874	AMC+
875	Starz HD
877	Paramount+ with Showtime HD
878	SHO 2 HD
882	Big Ten Network HD
883	The Movie Channel HD
884	NHL Network HD
894	New England Sports Network Plus HD
897	FS1 HD
898	FS2 HD
899	NFL RedZone HD
900	ESPNU HD
901	MS NOW HD
902	truTV HD
903	Turner Classic Movies HD
905	BET HD
906	Hallmark Channel HD
907	HSN HD
908	UPtv HD
909	Investigation Discovery HD
910	Vice HD
911	National Geographic Wild HD
913	Oxygen True Crime HD
914	Oprah Winfrey Network HD
915	Ovation HD
916	Bloomberg HD
917	Smithsonian HD Network
918	Local 6
919	Local 7
922	BBC America HD
923	SEC Network HD
924	FXX HD
926	Discovery Family Channel HD
999	Galavision Cable Network HD
1010	WHTX-LP
1015	HSN HD
1021	WSHM-LD
1022	WWLP-DT
1024	WEDH-DT
1032	Jewelry Television HD
1034	QVC HD
1037	QVC2 HD
1040	WGGB-DT
1041	WGGB-DT2
1049	HSN2 HD
1051	WDMR-LD (SD Feed)
1053	QVC3 HD
1057	WGBY-DT
1067	Jewelry Television
1070	Local Access Programming 1
1071	Local Access Programming 2
1072	Local Access Programming 3
1073	Local Access Programming 4
1074	Local Access Programming 5 HD
1075	Local Access Programming 6 HD
1076	Local Access Programming 7 HD
1080	GOD TV
1091	American Value Channel RF Leased Access FT E
1092	Shop LC HD
1093	BINGE HD
1094	Greater Love TV 1
1095	Family Entertainment Television
1096	SonLife Broadcasting Network
1097	Leased Westfield
1098	InTouch+
1099	GEMS
1102	The Weather Channel HD
1108	FOX Weather
1110	Fox News Channel HD
1111	CNN HD
1112	HLN HD
1113	MS NOW HD
1115	Newsmax TV HD
1116	NewsNation
1117	BBC News (North America) HD
1121	CNBC HD
1122	Bloomberg HD
1123	Fox Business HD
1127	New England Cable News HD
1128	CSPAN HD
1129	CSPAN2 HD
1130	CSPAN3 HD
1154	WGBY-DT2
1155	WGBY-DT3
1156	WGBY-DT4
1165	WSHM-LD2
1168	WGGB-DT3
1174	WWLP-DT2
1205	ESPN HD
1206	ESPN2 HD
1208	FS1 HD
1209	FS2 HD
1210	ESPNEWS HD
1211	NBC Sports Network
1215	NFL Network HD
1216	NFL RedZone HD
1217	NHL Network HD
1218	NBA TV HD
1219	MLB Network HD
1220	MLS 360 English
1223	Golf Channel HD
1224	Tennis Channel HD
1228	Zona Futbol
1229	TUDN
1230	Fox Deportes HD
1231	ESPN Deportes
1232	UNIVERSO HD
1234	Latin American Sports HD
1236	Outdoor Channel
1237	The Sportsman Channel HD
1238	Pursuit Channel HD
1243	DISCOVERY TURBO HD
1246	FanDuel TV
1250	New England Sports Network HD
1251	NBC Sports Boston HD
1255	New England Sports Network Plus HD
1256	NBC Sports Boston Plus
1301	ESPNU HD
1303	CBS Sports Network HD
1313	Big Ten Network HD
1321	SEC Network HD
1325	ACC Network
1354	Fox Sports 4K Events 1
1356	NBC 4K Events
1362	USA 4K
1364	The Golf Channel 4K
1366	Telemundo 4K
1368	NBC Sports Network 4K
1390	Fox Sports 4K Events 2
1402	A&E HD East
1403	USA Network HD
1404	TNT HD
1405	AMC HD
1406	AMC+
1409	FX HD
1410	FXX HD
1411	Syfy HD
1412	Paramount Network HD
1418	BBC America HD
1421	ION Television
1425	Game Show Network HD
1426	TV Land HD
1427	POP HD
1428	WE tv HD
1429	ReelzChannel HD
1430	truTV HD
1431	INSP HD
1433	Great HD
1434	TBS HD
1435	Comedy Central HD
1436	Vice HD
1437	Comedy.TV HD
1438	IFC HD
1439	Logo HD
1440	SundanceTV HD
1444	Investigation Discovery HD
1445	Crime + Investigation
1446	Justice Central HD
1449	Discovery Channel HD
1450	TLC HD (US)
1451	Science Channel HD
1455	Lifetime HD
1456	LMN HD
1457	UPtv HD
1458	Hallmark Channel HD
1459	Hallmark Mystery HD
1460	Hallmark Family
1461	Great American Family HD
1462	Ovation HD
1463	Bravo HD
1464	Oprah Winfrey Network HD
1465	Oxygen True Crime HD
1466	E! Entertainment Television HD
1471	Animal Planet HD
1472	National Geographic Wild HD
1473	National Geographic HD
1477	Smithsonian HD Network
1478	History HD
1479	Military History Channel
1480	American Heroes Channel HD
1483	Recipe TV HD
1484	Food Network HD
1485	Cooking Channel HD
1486	FYI Channel HD
1487	Destination America HD
1488	The Travel Channel HD
1492	Home & Garden Television HD
1493	Magnolia Network HD
1497	Discovery Life Channel HD
1550	Music Choice Today's Hits
1551	Music Choice Trending Hits
1552	Music Choice Feel-Good Favorites
1553	Music Choice Pop Energy
1554	Music Choice Hip-Hop and R&B
1555	Music Choice Dance
1556	Music Choice Hip-Hop Classics
1557	Music Choice Throwback Jams
1558	Music Choice R&B Classics
1559	Music Choice Today's R&B
1560	Music Choice Gospel
1561	Music Choice Contemporary Christian
1562	Music Choice Rock
1563	Music Choice Yacht Rock
1564	Music Choice '60s & '70s Mellow Hits
1565	Music Choice Adult Alternative
1566	Music Choice Alt & Rock Favorites
1567	Music Choice Classic Rock
1568	Music Choice Soft Rock
1569	Music Choice Happy Hits
1570	Music Choice Pop Hits
1571	Music Choice Today's Latin Hits
1572	Music Choice Tropicales
1573	Music Choice Romantic Latin Pop
1574	Music Choice '70s & '80s Favorites
1575	Music Choice '90s
1576	Music Choice '80s
1577	Music Choice '70s
1578	Music Choice '60s Generation
1579	Music Choice Solid Gold Oldies
1580	Music Choice Pop & Country
1581	Music Choice Today's Country
1582	Music Choice Country Favorites
1583	Music Choice Classic Country
1584	Music Choice Country Rock
1585	Music Choice Sleep Sounds
